id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Ona;Jones;Reggie49@gmail.com;tightly;2024-02-05T08:06:38;18296;23631
2;Ocie;Dickens;Kevin_Veum44@yahoo.com;attribute;2024-02-05T00:59:03;23999;9235
3;Katheryn;Upton;Boyd77@gmail.com;till;2024-02-04T15:58:09;29097;23259
4;Mose;Barton;Madyson.Powlowski@gmail.com;anenst hourly;2024-02-05T04:27:20;7263;10473
5;Moshe;Pfannerstill;Florencio.Sawayn@hotmail.com;dreary pfft;2024-02-04T20:56:15;19641;6417
6;Levi;Schumm;Kade_Kassulke79@hotmail.com;absentmindedly athwart;2024-02-04T19:15:04;8424;21883
7;Dan;Brown-Wunsch;Ted_Brakus1@gmail.com;hound lump taste;2024-02-04T15:15:23;6787;2493
8;Anastacio;Armstrong;Sherman18@yahoo.com;brain consequently;2024-02-04T16:24:49;10622;26182
9;Woodrow;Kertzmann;Emmitt89@hotmail.com;dawdle even;2024-02-05T00:48:53;3636;5535
10;Jessika;Stoltenberg;Herminio63@gmail.com;separately teaching via;2024-02-05T08:17:54;27475;18778
